report_id,wellbore_id,pdf_name,page_number,row_index,Time,Depth mMD,Depth TVD,Equ Mud Weight (g/cm3),Reading
312,15/9-19 ST2,15_9_19_ST2_1993_03_08.pdf,2,1,00:00,4107,,1.3,estimated
312,15/9-19 ST2,15_9_19_ST2_1993_03_08.pdf,2,2,00:00,4355,,1.1,estimated
313,15/9-19 ST2,15_9_19_ST2_1993_03_09.pdf,2,1,00:00,4017,,1.3,estimated
313,15/9-19 ST2,15_9_19_ST2_1993_03_09.pdf,2,2,00:00,4383,,1.1,estimated
314,15/9-19 ST2,15_9_19_ST2_1993_03_10.pdf,2,1,00:00,4107,,1.3,estimated
314,15/9-19 ST2,15_9_19_ST2_1993_03_10.pdf,2,2,00:00,4383,,1.1,estimated
315,15/9-19 ST2,15_9_19_ST2_1993_03_11.pdf,2,1,00:00,4107,,1.3,estimated
315,15/9-19 ST2,15_9_19_ST2_1993_03_11.pdf,2,2,00:00,4503,,1.1,estimated
317,15/9-19 ST2,15_9_19_ST2_1993_03_13.pdf,2,1,00:00,4107,,1.3,estimated
317,15/9-19 ST2,15_9_19_ST2_1993_03_13.pdf,2,2,00:00,4641,,1.1,estimated
318,15/9-19 ST2,15_9_19_ST2_1993_03_14.pdf,2,1,00:00,4107,,1.3,estimated
318,15/9-19 ST2,15_9_19_ST2_1993_03_14.pdf,2,2,00:00,4641,,1.1,estimated
319,15/9-19 ST2,15_9_19_ST2_1993_03_15.pdf,2,1,00:00,4107,,1.3,estimated
319,15/9-19 ST2,15_9_19_ST2_1993_03_15.pdf,2,2,00:00,4641,,1.1,estimated
320,15/9-19 ST2,15_9_19_ST2_1993_03_16.pdf,2,1,00:00,4107,,1.3,estimated
320,15/9-19 ST2,15_9_19_ST2_1993_03_16.pdf,2,2,00:00,4641,,1.1,estimated
321,15/9-19 ST2,15_9_19_ST2_1993_03_17.pdf,2,1,00:00,4107,,1.3,estimated
321,15/9-19 ST2,15_9_19_ST2_1993_03_17.pdf,2,2,00:00,4641,,1.1,estimated
